action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,total_gain
"{'nom': 'Microsoft', 'symbole': 'MSFT', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,8869851350849984","886,9851350849982",0,0,0,0,0,0,135,"-0,0008657770370370371",38,"0,007085772368421053",97,"-0,003980817010309278",0
"{'nom': 'Apple', 'symbole': 'AAPL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,885832756290001","885,8327562900009",0,0,0,0,0,0,151,"-0,0007903328476821191",49,"0,005090385510204081",102,"-0,0036153838235294133",0
"{'nom': 'NVIDIA', 'symbole': 'NVDA', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9356827755755013","935,6827755755006",0,0,0,0,0,0,148,"-0,00033592101351351337",45,"0,014174949555555556",103,"-0,006675621747572817",0
"{'nom': 'Alphabet', 'symbole': 'GOOGL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9764848713749996","976,4848713749991",0,0,0,0,0,0,168,"-0,00012114494047619049",51,"0,007010299607843136",117,"-0,003229723333333332",0
"{'nom': 'Amazon', 'symbole': 'AMZN', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,0560922306000007","1056,0922306000007",0,0,0,0,0,0,134,"0,0004674894776119403",49,"0,008872819387755103",85,"-0,004377935999999999",0
"{'nom': 'Eli Lilly', 'symbole': 'LLY', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","0,8551785561600019","855,1785561600012",0,0,0,0,0,0,133,"-0,0011502135338345863",45,"0,006199604888888888",88,"-0,0049086434090909094",0
"{'nom': 'Broadcom', 'symbole': 'AVGO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","0,5526076819864244","552,6076819864245",0,0,0,0,0,0,193,"-0,0030254689637305688",48,"0,007884815416666668",145,"-0,006637149310344827",0
"{'nom': 'JPMorgan Chase', 'symbole': 'JPM', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,99986748611","999,8674861100004",0,0,0,0,0,0,141,"1,401361702127654e-05",49,"0,006073591428571431",92,"-0,0032133702173913047",0
"{'nom': 'Tesla', 'symbole': 'TSLA', 'secteur': 'Automobile', 'liquidite': 'Haute'}","0,8325885279800005","832,58852798",0,0,0,0,0,0,179,"-0,0009878701675977647",62,"0,008951224677419357",117,"-0,006254740940170944",0
"{'nom': 'Visa', 'symbole': 'V', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,7513825083849995","751,382508385",0,0,0,0,0,0,192,"-0,0014785557291666673",54,"0,004370024074074074",138,"-0,003767130434782609",0
"{'nom': 'Walmart', 'symbole': 'WMT', 'secteur': 'Grande distribution', 'liquidite': 'Haute'}","0,9473130510949987","947,3130510949993",0,0,0,0,0,0,189,"-0,00027923566137566145",57,"0,004037265087719297",132,"-0,002143179166666667",0
"{'nom': 'UnitedHealth', 'symbole': 'UNH', 'secteur': 'Assurance santé', 'liquidite': 'Moyenne'}","0,6692021295649991","669,202129564999",0,0,0,0,0,0,160,"-0,0024975518750000006",43,"0,0036636034883720933",117,"-0,004761908119658119",0
"{'nom': 'ExxonMobil', 'symbole': 'XOM', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","0,7082177426299988","708,217742629998",0,0,0,0,0,0,273,"-0,0012516373992674003",75,"0,005320907866666666",198,"-0,0037412378787878803",0
"{'nom': 'Mastercard', 'symbole': 'MA', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,8081634683250007","808,1634683250006",0,0,0,0,0,0,152,"-0,0013874288157894733",50,"0,004827394800000001",102,"-0,004433910980392157",0
"{'nom': 'Johnson & Johnson', 'symbole': 'JNJ', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","0,8726949552250004","872,6949552250001",0,0,0,0,0,0,91,"-0,0014895879120879127",22,"0,003411948181818182",69,"-0,0030523965217391313",0
"{'nom': 'Advanced Micro Devices', 'symbole': 'AMD', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,1497500226700001","1149,75002267",0,0,0,0,0,0,136,"0,0010730688970588234",53,"0,010742009056603769",83,"-0,005101073614457831",0
"{'nom': 'PepsiCo', 'symbole': 'PEP', 'secteur': 'Alimentation et boissons', 'liquidite': 'Moyenne'}","0,9676335805499992","967,6335805499992",0,0,0,0,0,0,117,"-0,0002733744444444444",42,"0,004362193809523809",75,"-0,0028692926666666657",0
"{'nom': 'AstraZeneca', 'symbole': 'AZN', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","0,8558270844449978","855,8270844449981",0,0,0,0,0,0,164,"-0,000940871341463415",41,"0,005096958048780488",123,"-0,0029534811382113837",0
"{'nom': 'Royal Dutch Shell', 'symbole': 'SHEL', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","0,9419438969650001","941,9438969650004",0,0,0,0,0,0,234,"-0,00024439794871794886",72,"0,005988698611111111",162,"-0,0030146630864197545",0
"{'nom': 'Thermo Fisher Scientific', 'symbole': 'TMO', 'secteur': 'Science et technologie', 'liquidite': 'Haute'}","0,510898974640927","510,89897464092735",0,0,0,0,0,0,185,"-0,003608946378378378",41,"0,005057551951219512",144,"-0,006076491041666663",0
"{'nom': 'Adobe', 'symbole': 'ADBE', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,638156122764999","638,1561227649995",0,0,0,0,0,0,151,"-0,0029449461589404",36,"0,007009077777777777",115,"-0,006060988434782611",0
"{'nom': 'Qualcomm', 'symbole': 'QCOM', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","0,8434478476749995","843,4478476749995",0,0,0,0,0,0,177,"-0,0009416170621468927",52,"0,00713653903846154",125,"-0,00430213",0
"{'nom': 'Cisco', 'symbole': 'CSCO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","0,9458924253550008","945,8924253550006",0,0,0,0,0,0,150,"-0,00036064960000000004",46,"0,005133753913043479",104,"-0,0027908665384615396",0
"{'nom': 'Accenture', 'symbole': 'ACN', 'secteur': 'Services informatiques', 'liquidite': 'Moyenne'}","0,7608770062200009","760,8770062200008",0,0,0,0,0,0,140,"-0,0019401227857142854",32,"0,004914369375",108,"-0,003971083425925926",0
"{'nom': 'Walt Disney', 'symbole': 'DIS', 'secteur': 'Divertissement', 'liquidite': 'Haute'}","1,1190010027250006","1119,0010027250007",0,0,0,0,0,0,122,"0,0009592349180327868",43,"0,008757913720930231",79,"-0,0032856155696202524",0
"{'nom': 'General Electric', 'symbole': 'GE', 'secteur': 'Industrie', 'liquidite': 'Moyenne'}","0,9670510798799995","967,0510798800003",0,0,0,0,0,0,167,"-0,00018399892215568872",52,"0,006590002692307693",115,"-0,0032470257391304354",0
"{'nom': 'American Express', 'symbole': 'AXP', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,8830336554","883,0336553999999",0,0,0,0,0,0,108,"-0,001137241851851852",32,"0,005910468437499999",76,"-0,0041046988157894745",0
"{'nom': 'TotalEnergies', 'symbole': 'TTE', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","0,934709385909999","934,7093859099986",0,0,0,0,0,0,230,"-0,00028138599999999995",76,"0,005853803815789472",154,"-0,0033091420129870135",0
