action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,total_gain
"{'nom': 'Microsoft', 'symbole': 'MSFT', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,01417322338","1014,1732233800001",2,"0,00706953",2,"0,00706953",0,0,0,0,0,0,0,0,0
"{'nom': 'Apple', 'symbole': 'AAPL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9759554299074997","975,9554299074998",2,"-0,011187935",1,"0,03116617",1,"-0,05354204",0,0,0,0,0,0,0
"{'nom': 'NVIDIA', 'symbole': 'NVDA', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9399907227849998","939,9907227849998",6,"-0,01006391",3,"0,00467751",3,"-0,02480533",0,0,0,0,0,0,0
"{'nom': 'Alphabet', 'symbole': 'GOOGL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9891374280099999","989,13742801",7,"-0,0014663457142857145",3,"0,010925240000000001",4,"-0,010760035",0,0,0,0,0,0,0
"{'nom': 'Amazon', 'symbole': 'AMZN', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9698212798999999","969,8212798999999",4,"-0,007621067499999999",0,0,4,"-0,007621067499999999",0,0,0,0,0,0,0
"{'nom': 'Eli Lilly', 'symbole': 'LLY', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","0,9314839237","931,4839237",3,"-0,02319796",0,0,3,"-0,02319796",0,0,0,0,0,0,0
"{'nom': 'Broadcom', 'symbole': 'AVGO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","0,9831256631199999","983,1256631199999",1,"-0,01687434",0,0,1,"-0,01687434",0,0,0,0,0,0,0
"{'nom': 'JPMorgan Chase', 'symbole': 'JPM', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,01273328755","1012,73328755",1,"0,01273329",1,"0,01273329",0,0,0,0,0,0,0,0,0
"{'nom': 'Tesla', 'symbole': 'TSLA', 'secteur': 'Automobile', 'liquidite': 'Haute'}","1,0339040176324998","1033,9040176324997",7,"0,0055383428571428575",5,"0,028869148",2,"-0,052788669999999996",0,0,0,0,0,0,0
"{'nom': 'Visa', 'symbole': 'V', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'Walmart', 'symbole': 'WMT', 'secteur': 'Grande distribution', 'liquidite': 'Haute'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'UnitedHealth', 'symbole': 'UNH', 'secteur': 'Assurance santé', 'liquidite': 'Moyenne'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'ExxonMobil', 'symbole': 'XOM', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","1,0095772191649999","1009,5772191649999",1,"0,00957722",1,"0,00957722",0,0,0,0,0,0,0,0,0
"{'nom': 'Mastercard', 'symbole': 'MA', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'Johnson & Johnson', 'symbole': 'JNJ', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","0,99399043","993,99043",2,"-0,0030076",0,0,2,"-0,0030076",0,0,0,0,0,0,0
"{'nom': 'Advanced Micro Devices', 'symbole': 'AMD', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,0057249285400003","1005,7249285400001",11,"0,0005956472727272726",4,"0,01204017",7,"-0,005944079999999999",0,0,0,0,0,0,0
"{'nom': 'PepsiCo', 'symbole': 'PEP', 'secteur': 'Alimentation et boissons', 'liquidite': 'Moyenne'}","0,99771951","997,71951",1,"-0,00228049",0,0,1,"-0,00228049",0,0,0,0,0,0,0
"{'nom': 'AstraZeneca', 'symbole': 'AZN', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","0,9910234259999999","991,023426",1,"-0,00897657",0,0,1,"-0,00897657",0,0,0,0,0,0,0
"{'nom': 'Royal Dutch Shell', 'symbole': 'SHEL', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","1,0098476566399999","1009,84765664",1,"0,00984766",1,"0,00984766",0,0,0,0,0,0,0,0,0
