action,total_yield,ratio,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,trades,parameters
NVDA,1.3895539655199995,0.8888888888888888,1389.5539655200002,0,0,0,0,0,0,9,0.040277692222222224,8,0.049750055,1,-0.03550121,"{'0': 1, '15': 1.01922907, '16': 0.96449879, '21': 1.035833725862118, '22': 1.00014384, '23': 1.02288498, '55': 1.0112624, '60': 1.03828349, '61': 1.27040679}","{'strat': 'short_trend', 'rsi': 45, 'rate': 2.5, 'vol': 6, 'sl': 3, 'tp': 4}"
NVDA,1.2271844897200004,0.4166666666666667,1227.1844897200006,0,0,0,0,0,0,12,0.019084671666666667,5,0.069341534,7,-0.01681308714285714,"{'0': 1, '5': 0.97689041, '7': 1.01182695, '12': 0.9574681583927878, '13': 1.05049509, '14': 0.99906469, '16': 1.2037369540312644, '17': 0.95944011, '23': 0.9902045, '24': 1.07730357, '30': 1.00284389}","{'strat': 'short_trend', 'rsi': 45, 'rate': 2.5, 'vol': 6, 'sl': 3, 'tp': 4}"
