action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,total_gain
"{'nom': 'American Express', 'symbole': 'AXP', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,0061725779999997","1006,1725779999999",4,"0,0015894325000000002",2,"0,00952862",2,"-0,0063497549999999995",0,0,0,0,0,0,0
"{'nom': 'TotalEnergies', 'symbole': 'TTE', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","1,0030856989999999","1003,0856989999999",1,"0,0030857",1,"0,0030857",0,0,0,0,0,0,0,0,0
"{'nom': 'Verizon', 'symbole': 'VZ', 'secteur': 'Télécommunications', 'liquidite': 'Moyenne'}","1,0262649597899998","1026,26495979",8,"0,00333764875",4,"0,01507588",4,"-0,0084005825",0,0,0,0,0,0,0
"{'nom': 'Morgan Stanley', 'symbole': 'MS', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9928557796799999","992,8557796800001",4,"-0,00178223",1,"0,00417213",3,"-0,0037670166666666665",0,0,0,0,0,0,0
"{'nom': 'Pfizer', 'symbole': 'PFE', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","1,01132146263","1011,3214626299999",2,"0,00567559",1,"0,01354546",1,"-0,00219428",0,0,0,0,0,0,0
"{'nom': 'Goldman Sachs', 'symbole': 'GS', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9747986893999996","974,7986893999997",5,"-0,005085278",0,0,5,"-0,005085278",0,0,0,0,0,0,0
"{'nom': 'IBM', 'symbole': 'IBM', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,98222613477","982,2261347699999",4,"-0,00438459",1,"0,01792395",3,"-0,01182077",0,0,0,0,0,0,0
"{'nom': 'Philip Morris', 'symbole': 'PM', 'secteur': 'Tabac', 'liquidite': 'Moyenne'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'Union Pacific', 'symbole': 'UNP', 'secteur': 'Transport ferroviaire', 'liquidite': 'Haute'}","1,0165017034400001","1016,50170344",2,"0,008316384999999999",1,"0,02246678",1,"-0,00583401",0,0,0,0,0,0,0
"{'nom': 'Royal Bank of Canada', 'symbole': 'RY', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,0016407660000002","1001,6407660000001",4,"0,00041156000000000005",2,"0,002142375",2,"-0,0013192549999999999",0,0,0,0,0,0,0
"{'nom': 'Suncor Energy', 'symbole': 'SU', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'Nike', 'symbole': 'NKE', 'secteur': 'Vêtements et chaussures', 'liquidite': 'Haute'}","1,0164174731599998","1016,4174731599998",7,"0,0024117371428571434",5,"0,008553792000000001",2,"-0,012943399999999999",0,0,0,0,0,0,0
"{'nom': 'Uber', 'symbole': 'UBER', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9541199404699995","954,11994047",10,"-0,004611609",3,"0,007170953333333333",7,"-0,009661278571428572",0,0,0,0,0,0,0
"{'nom': 'Airbus', 'symbole': 'AIR', 'secteur': 'Aérospatiale', 'liquidite': 'Moyenne'}","1,0209183367499997","1020,9183367499996",6,"0,003545955",4,"0,011891949999999998",2,"-0,013146035",0,0,0,0,0,0,0
"{'nom': 'Intel', 'symbole': 'INTC', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,96459814237","964,5981423699999",14,"-0,002519682142857143",4,"0,012018184999999999",10,"-0,008334828999999998",0,0,0,0,0,0,0
"{'nom': 'Meta', 'symbole': 'META', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,8743757915600001","874,37579156",5,"-0,025734046",1,"0,02062116",4,"-0,0373228475",0,0,0,0,0,0,0
"{'nom': 'Netflix', 'symbole': 'NFLX', 'secteur': 'Services de diffusion en continu', 'liquidite': 'Moyenne'}","0,9656034559000001","965,6034559000002",6,"-0,00576573",2,"0,008333255000000001",4,"-0,012815222499999999",0,0,0,0,0,0,0
"{'nom': 'PayPal', 'symbole': 'PYPL', 'secteur': 'Services financiers', 'liquidite': 'Moyenne'}","0,9592595972399998","959,2595972399997",6,"-0,006794270000000001",2,"0,008808025",4,"-0,0145954175",0,0,0,0,0,0,0
