action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,total_gain
"{'nom': 'Microsoft', 'symbole': 'MSFT', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,989333890353985","1989,3074957799995",29,"0,016021686896551722",23,"0,02332071608695652",6,"-0,011957925",30,"0,008041114333333332",21,"0,014593148571428568",9,"-0,007246965555555556",0
"{'nom': 'Apple', 'symbole': 'AAPL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","2,1907852072799985","2190,7852072799983",31,"0,015397874516129033",24,"0,022595919166666673",7,"-0,009281135714285713",32,"0,010294061562499998",27,"0,01662438222222222",5,"-0,02388967",0
"{'nom': 'NVIDIA', 'symbole': 'NVDA', 'secteur': 'Technologie', 'liquidite': 'Haute'}","6,606441482739994","6606,441482739993",31,"0,03319651580645161",30,"0,034374015333333334",1,"-0,00212847",38,"0,024385331578947372",30,"0,034728243666666686",8,"-0,01440058875",0
"{'nom': 'Alphabet', 'symbole': 'GOOGL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","3,873945442229996","3873,9454422299996",30,"0,016750794333333333",19,"0,02980974947368421",11,"-0,005805582727272728",42,"0,02113095333333333",33,"0,028171546060606064",9,"-0,004684553333333333",0
"{'nom': 'Amazon', 'symbole': 'AMZN', 'secteur': 'Technologie', 'liquidite': 'Haute'}","3,9213429263515356","3921,0844980600014",25,"0,021607967999999998",17,"0,03611133058823529",8,"-0,0092116775",47,"0,018491739361702123",38,"0,025159801578947365",9,"-0,009662301111111112",0
"{'nom': 'Meta', 'symbole': 'META', 'secteur': 'Technologie', 'liquidite': 'Haute'}","3,0547940747338784","3054,72199002",37,"0,019498121621621622",24,"0,03425316375",13,"-0,007741956153846153",34,"0,013003572058823533",28,"0,017243615",6,"-0,006783295000000001",0
"{'nom': 'Eli Lilly', 'symbole': 'LLY', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","2,103050372439999","2103,050372439999",26,"0,017868539999999995",22,"0,02284855409090909",4,"-0,009521537500000002",21,"0,014001928571428573",16,"0,020515524375000004",5,"-0,006841578000000001",0
"{'nom': 'Broadcom', 'symbole': 'AVGO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","2,028221636109998","2028,2216361099997",12,"0,007224166666666667",5,"0,030492038",7,"-0,009395741428571427",35,"0,01821128428571429",25,"0,028563160400000003",10,"-0,007668406",0
"{'nom': 'JPMorgan Chase', 'symbole': 'JPM', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,97755849031","1977,558490310001",25,"0,012552273600000002",21,"0,015732141428571426",4,"-0,0041420325",24,"0,0158370025",19,"0,02053175315789474",5,"-0,00200305",0
"{'nom': 'Tesla', 'symbole': 'TSLA', 'secteur': 'Automobile', 'liquidite': 'Haute'}","11,05697560300999","11056,975603009994",38,"0,033224147631578944",29,"0,04669819862068965",9,"-0,010192238888888889",34,"0,036270890294117654",29,"0,0441380948275862",5,"-0,009358896000000002",0
"{'nom': 'Visa', 'symbole': 'V', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","2,050126450109999","2050,1264501099995",6,"0,02113911666666667",4,"0,0343365975",2,"-0,005255845",40,"0,015146499499999999",34,"0,018652091176470587",6,"-0,00471852",0
"{'nom': 'Walmart', 'symbole': 'WMT', 'secteur': 'Grande distribution', 'liquidite': 'Haute'}","1,9020133156369403","1901,6156376999993",10,"0,004663290999999999",6,"0,009085805",4,"-0,00197048",57,"0,010699401052631579",50,"0,012683801",7,"-0,0034748842857142857",0
"{'nom': 'UnitedHealth', 'symbole': 'UNH', 'secteur': 'Assurance santé', 'liquidite': 'Moyenne'}","2,1605361090099997","2160,536109009999",20,"0,016003600999999996",14,"0,02490460071428571",6,"-0,004765398333333334",38,"0,012254685263157894",24,"0,023224091666666665",14,"-0,006550011428571429",0
"{'nom': 'ExxonMobil', 'symbole': 'XOM', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","3,0892539602399998","3089,253960239999",15,"0,008371476666666667",10,"0,021511607999999998",5,"-0,017908786000000003",42,"0,0245087411904762",41,"0,025139220975609767",1,"-0,00134093",0
"{'nom': 'Mastercard', 'symbole': 'MA', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,4545819901499981","1454,5819901499988",33,"0,007780295454545453",20,"0,015977559000000002",13,"-0,00483087923076923",11,"0,011316696363636365",8,"0,01724394625",3,"-0,004489303333333333",0
"{'nom': 'Johnson & Johnson', 'symbole': 'JNJ', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","1,613827429307178","1613,6743236199998",36,"0,012700916388888891",27,"0,018418692592592593",9,"-0,004452412222222223",6,"0,004797676666666667",4,"0,0084474675",2,"-0,002501905",0
"{'nom': 'Advanced Micro Devices', 'symbole': 'AMD', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","6,613161510920008","6613,1615109200075",33,"0,0322201312121212",28,"0,038481020357142855",5,"-0,002840848",33,"0,026906096969696976",28,"0,03270068964285715",5,"-0,005543622",0
"{'nom': 'PepsiCo', 'symbole': 'PEP', 'secteur': 'Alimentation et boissons', 'liquidite': 'Moyenne'}","1,8122633940699993","1812,2633940700002",35,"0,011554268571428574",24,"0,018704848750000003",11,"-0,004046997272727272",14,"0,014313455000000001",11,"0,019699926363636364",3,"-0,005436939999999999",0
"{'nom': 'AstraZeneca', 'symbole': 'AZN', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","2,3798876705399974","2379,88767054",46,"0,014941610652173915",39,"0,018536989230769234",7,"-0,0050897842857142855",14,"0,014022364285714285",12,"0,01801775166666667",2,"-0,00994996",0
"{'nom': 'Royal Dutch Shell', 'symbole': 'SHEL', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","3,087040637859995","3087,0406378599982",39,"0,015619861538461541",33,"0,01924222575757576",6,"-0,004303141666666667",23,"0,02366499347826087",19,"0,030205847894736838",4,"-0,007404065",0
"{'nom': 'Thermo Fisher Scientific', 'symbole': 'TMO', 'secteur': 'Science et technologie', 'liquidite': 'Haute'}","2,8836452608152667","2883,5947430800015",19,"0,02321098578947368",16,"0,028038276875000004",3,"-0,002534566666666667",36,"0,017723498055555554",31,"0,022317438387096777",5,"-0,010758932",0
"{'nom': 'Adobe', 'symbole': 'ADBE', 'secteur': 'Technologie', 'liquidite': 'Haute'}","3,0749551453899957","3074,95514539",36,"0,016533841111111107",26,"0,024891628461538456",10,"-0,005196406000000001",32,"0,0173026184375",26,"0,023788556538461538",6,"-0,010803113333333334",0
"{'nom': 'Qualcomm', 'symbole': 'QCOM', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","3,804205579789998","3804,205579789999",28,"0,026616756785714287",26,"0,029977336923076928",2,"-0,017070784999999998",31,"0,020089169032258065",26,"0,02496210538461539",5,"-0,0052501",0
"{'nom': 'Cisco', 'symbole': 'CSCO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","2,7896416669499993","2789,641666950002",36,"0,014393964722222223",27,"0,02111757666666667",9,"-0,005776871111111112",28,"0,018898143214285717",24,"0,0221725725",4,"-0,0007484325",0
"{'nom': ""McDonald's"", 'symbole': 'MCD', 'secteur': 'Restauration', 'liquidite': 'Haute'}","1,8772207530400007","1877,2207530400005",34,"0,011409220588235295",28,"0,014626182500000001",6,"-0,003603268333333334",22,"0,011386951818181818",14,"0,019992251428571427",8,"-0,0036723225",0
"{'nom': 'Alibaba', 'symbole': 'BABA', 'secteur': 'Commerce en ligne', 'liquidite': 'Haute'}","2,362012316270002","2362,0123162700015",18,"0,02048552333333333",14,"0,029167279999999997",4,"-0,009900625",31,"0,01643663032258065",27,"0,019098492222222225",4,"-0,0015309375",0
"{'nom': 'Accenture', 'symbole': 'ACN', 'secteur': 'Services informatiques', 'liquidite': 'Moyenne'}","1,6962794298199986","1696,2794298199992",19,"0,013052739473684209",10,"0,029595750000000004",9,"-0,005328383333333333",13,"0,022600587692307692",10,"0,030128483",3,"-0,0024923966666666668",0
"{'nom': 'Walt Disney', 'symbole': 'DIS', 'secteur': 'Divertissement', 'liquidite': 'Haute'}","2,797774277499697","2797,66738791",32,"0,021826905",26,"0,02793397076923077",6,"-0,004637046666666666",27,"0,013459905925925929",23,"0,016567971739130438",4,"-0,004411472499999999",0
"{'nom': 'Caterpillar', 'symbole': 'CAT', 'secteur': 'Équipements lourds', 'liquidite': 'Moyenne'}","2,539457267359997","2539,4572673599973",34,"0,01885702529411765",27,"0,024967091481481483",7,"-0,004710372857142858",16,"0,019358339375000002",12,"0,02718703166666667",4,"-0,0041277375",0
"{'nom': 'General Electric', 'symbole': 'GE', 'secteur': 'Industrie', 'liquidite': 'Moyenne'}","2,369706584469677","2369,3939876799996",43,"0,013630774418604654",29,"0,02359617827586207",14,"-0,007011847857142857",23,"0,012946812608695655",16,"0,019934701875000006",7,"-0,0030255057142857147",0
"{'nom': 'American Express', 'symbole': 'AXP', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","2,435106929380002","2435,1069293800006",31,"0,021357866129032264",23,"0,030543222608695648",8,"-0,00505003375",12,"0,020724062499999998",9,"0,029728221111111112",3,"-0,006288413333333333",0
"{'nom': 'TotalEnergies', 'symbole': 'TTE', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","3,4238406454300017","3423,8406454300016",26,"0,016076951153846157",19,"0,02327553894736843",7,"-0,003462072857142857",40,"0,021005695000000005",33,"0,02653828484848485",7,"-0,005076514285714285",0
"{'nom': 'Verizon', 'symbole': 'VZ', 'secteur': 'Télécommunications', 'liquidite': 'Moyenne'}","2,45507917965","2455,0791796500007",9,"0,021853353333333336",7,"0,030210971428571428",2,"-0,00739831",59,"0,01228248745762712",40,"0,020061998749999997",19,"-0,004095431052631579",0
"{'nom': 'Morgan Stanley', 'symbole': 'MS', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","3,720740090139998","3720,740090139996",37,"0,025779302432432424",33,"0,029692703939393928",4,"-0,00650626",17,"0,02312570411764706",14,"0,02971650071428572",3,"-0,007631346666666667",0
"{'nom': 'Pfizer', 'symbole': 'PFE', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","3,4031250394799994","3403,125039479999",13,"0,017210591538461533",10,"0,027117389",3,"-0,01581206666666667",70,"0,014773346428571437",57,"0,019388833508771935",13,"-0,00546378923076923",0
"{'nom': 'Goldman Sachs', 'symbole': 'GS', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","2,87698395006","2876,983950059997",27,"0,021585996296296296",21,"0,02962839",6,"-0,006562381666666666",25,"0,019800149199999995",20,"0,025499211499999997",5,"-0,0029961000000000002",0
"{'nom': 'IBM', 'symbole': 'IBM', 'secteur': 'Technologie', 'liquidite': 'Haute'}","2,802630676037705","2802,5423972799967",13,"0,01913725153846154",11,"0,02307500727272727",2,"-0,002520405",57,"0,014021066140350875",41,"0,020361579024390244",16,"-0,002226498125",0
"{'nom': 'Philip Morris', 'symbole': 'PM', 'secteur': 'Tabac', 'liquidite': 'Moyenne'}","2,27690941822843","2276,6581948200005",6,"0,006050796666666667",4,"0,0113389325",2,"-0,004525475",53,"0,015214334339622637",37,"0,024488673513513515",16,"-0,006232575",0
"{'nom': 'Union Pacific', 'symbole': 'UNP', 'secteur': 'Transport ferroviaire', 'liquidite': 'Haute'}","2,6924866011399997","2692,48660114",18,"0,022502414444444445",13,"0,03387658384615385",5,"-0,0070704259999999994",31,"0,019598593225806447",22,"0,029394724999999997",9,"-0,004347506666666666",0
