action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,total_gain
"{'nom': 'Microsoft', 'symbole': 'MSFT', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,0732114644400002","1073,21146444",6,"0,0019575333333333336",2,"0,014230015",4,"-0,0041787075",6,"0,010188459999999998",4,"0,020620975",2,"-0,01067657",0
"{'nom': 'Apple', 'symbole': 'AAPL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9380850806000003","938,0850806",8,"-0,0077191825",1,"0,00390342",7,"-0,009379554285714286",6,"-0,0002674833333333332",1,"0,0141074",5,"-0,0031424599999999997",0
"{'nom': 'NVIDIA', 'symbole': 'NVDA', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,0040927066799996","1004,0927066799998",6,"0,0033691550000000004",4,"0,011371962499999999",2,"-0,012636459999999999",5,"-0,0030611380000000006",2,"0,00776211",3,"-0,010276636666666667",0
"{'nom': 'Alphabet', 'symbole': 'GOOGL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9890162448000009","989,0162448000007",9,"0,0013220655555555554",2,"0,023812559999999997",7,"-0,005103790000000001",8,"-0,00275626875",2,"0,0053982249999999996",6,"-0,005474433333333334",0
"{'nom': 'Amazon', 'symbole': 'AMZN', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,1865226167200014","1186,5226167200012",10,"0,001917754",3,"0,020105873333333333",7,"-0,005877154285714286",9,"0,017602333333333334",7,"0,02390172571428572",2,"-0,00444554",0
"{'nom': 'Eli Lilly', 'symbole': 'LLY', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","1,01758262444","1017,58262444",5,"0,0027178719999999996",2,"0,013922414999999999",3,"-0,004751823333333333",2,"0,002093165",1,"0,006807",1,"-0,00262067",0
"{'nom': 'Broadcom', 'symbole': 'AVGO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,0611834590191007","1061,1834590191006",3,"-0,015184873333333333",0,0,3,"-0,015184873333333333",6,"0,018347668333333334",4,"0,0296617925",2,"-0,00428058",0
"{'nom': 'JPMorgan Chase', 'symbole': 'JPM', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9620881669599994","962,0881669599994",7,"-0,004075721428571429",1,"0,00252676",6,"-0,005176135000000001",7,"-0,0013955485714285713",1,"0,01765508",6,"-0,004570653333333333",0
"{'nom': 'Tesla', 'symbole': 'TSLA', 'secteur': 'Automobile', 'liquidite': 'Haute'}","1,0079701277999997","1007,9701278",4,"0,005395565000000001",2,"0,047257904999999996",2,"-0,036466775",7,"-0,001080612857142857",2,"0,029702845000000002",5,"-0,013393996",0
"{'nom': 'Visa', 'symbole': 'V', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9419852311199999","941,9852311199999",6,"-0,005048008333333334",0,0,6,"-0,005048008333333334",6,"-0,004872186666666666",0,0,6,"-0,004872186666666666",0
"{'nom': 'UnitedHealth', 'symbole': 'UNH', 'secteur': 'Assurance santé', 'liquidite': 'Moyenne'}","1,0237576140999995","1023,7576140999995",4,"0,00057352",2,"0,00761653",2,"-0,00646949",6,"0,0035829683333333333",4,"0,006627355",2,"-0,002505805",0
"{'nom': 'ExxonMobil', 'symbole': 'XOM', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","0,9892124390399999","989,2124390399996",2,"0,00789975",2,"0,00789975",0,0,14,"-0,0018766421428571425",4,"0,00656708",10,"-0,0052541309999999996",0
"{'nom': 'Mastercard', 'symbole': 'MA', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9630131178000002","963,0131178000003",13,"-0,0028803092307692303",3,"0,004945133333333334",10,"-0,005227942",0,0,0,0,0,0,0
"{'nom': 'Johnson & Johnson', 'symbole': 'JNJ', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","0,9836339345599997","983,6339345599997",7,"-0,003012631428571429",2,"0,00056759",5,"-0,00444472",1,"0,0046599",1,"0,0046599",0,0,0
"{'nom': 'Advanced Micro Devices', 'symbole': 'AMD', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","0,98429622758","984,2962275800002",10,"-0,006129166",5,"0,004744914",5,"-0,017003246",9,"0,005248028888888889",5,"0,014488812",4,"-0,00630295",0
"{'nom': 'PepsiCo', 'symbole': 'PEP', 'secteur': 'Alimentation et boissons', 'liquidite': 'Moyenne'}","1,0040003537599997","1004,0003537599997",5,"0,00020580600000000006",2,"0,00749095",3,"-0,004650956666666667",4,"0,0007780675000000001",2,"0,00568395",2,"-0,004127815",0
"{'nom': 'AstraZeneca', 'symbole': 'AZN', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","0,9940441786599985","994,0441786599993",12,"0,0007237541666666666",6,"0,006984458333333335",6,"-0,00553695",3,"-0,0047745366666666665",0,0,3,"-0,0047745366666666665",0
"{'nom': 'Royal Dutch Shell', 'symbole': 'SHEL', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","0,9600545548999995","960,0545548999993",8,"-0,00705925125",0,0,8,"-0,00705925125",7,"0,0023111114285714286",3,"0,00912875",4,"-0,0028021175",0
"{'nom': 'Thermo Fisher Scientific', 'symbole': 'TMO', 'secteur': 'Science et technologie', 'liquidite': 'Haute'}","0,9500948615999997","950,0948615999995",3,"-0,007920816666666665",0,0,3,"-0,007920816666666665",15,"-0,001712586666666666",5,"0,014762986",10,"-0,009950373000000002",0
"{'nom': 'Adobe', 'symbole': 'ADBE', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9731528824799996","973,1528824799997",4,"-0,0048599375",1,"0,00278073",3,"-0,007406826666666667",1,"-0,0076317",0,0,1,"-0,0076317",0
"{'nom': 'Qualcomm', 'symbole': 'QCOM', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,0075291319200002","1007,5291319200002",2,"-0,004297919999999999",1,"0,00733194",1,"-0,01592778",6,"0,00276115",3,"0,01211248",3,"-0,00659018",0
"{'nom': 'Cisco', 'symbole': 'CSCO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,0005843751999997","1000,5843751999998",6,"-8,07483333333332e-05",4,"0,0034101275",2,"-0,007062499999999999",4,"0,00030783999999999976",2,"0,00544597",2,"-0,00483029",0
"{'nom': 'Accenture', 'symbole': 'ACN', 'secteur': 'Services informatiques', 'liquidite': 'Moyenne'}","1,0185892505200007","1018,5892505200005",8,"0,006537147499999999",4,"0,0200618225",4,"-0,0069875275",4,"-0,0078380475",1,"0,00034081",3,"-0,010564333333333334",0
"{'nom': 'Walt Disney', 'symbole': 'DIS', 'secteur': 'Divertissement', 'liquidite': 'Haute'}","1,0078189823399997","1007,8189823399997",7,"0,0014197214285714284",3,"0,013073096666666666",4,"-0,00732031",5,"-0,00032169599999999995",2,"0,006041925",3,"-0,00456411",0
"{'nom': 'General Electric', 'symbole': 'GE', 'secteur': 'Industrie', 'liquidite': 'Moyenne'}","0,9889931873600001","988,9931873600001",7,"-0,0018681328571428571",2,"0,000979155",5,"-0,003007048",3,"0,0006875899999999998",2,"0,0028974049999999996",1,"-0,00373204",0
"{'nom': 'American Express', 'symbole': 'AXP', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9770638576799995","977,0638576799996",3,"-0,0006955033333333321",1,"0,03138272",2,"-0,016734615",4,"-0,0050529925",0,0,4,"-0,0050529925",0
"{'nom': 'TotalEnergies', 'symbole': 'TTE', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","1,0239107589999992","1023,9107589999994",4,"-0,0008231399999999998",1,"0,00412818",3,"-0,00247358",18,"0,0015268955555555559",11,"0,0066503836363636356",7,"-0,006524299999999999",0
"{'nom': 'Verizon', 'symbole': 'VZ', 'secteur': 'Télécommunications', 'liquidite': 'Moyenne'}","0,9963596616599999","996,35966166",5,"0,0023945680000000006",2,"0,009728585",3,"-0,0024947766666666665",11,"-0,0013923754545454548",3,"0,0064564",8,"-0,00433566625",0
"{'nom': 'Morgan Stanley', 'symbole': 'MS', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,00528962558","1005,28962558",7,"-0,0015457171428571426",2,"0,009713095",5,"-0,006049242",5,"0,0033020720000000005",3,"0,00771563",2,"-0,003318265",0
"{'nom': 'Pfizer', 'symbole': 'PFE', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","0,9969056899199998","996,9056899199998",1,"-0,00391669",0,0,1,"-0,00391669",21,"7,6559523809524e-05",7,"0,009860665714285715",14,"-0,004815493571428571",0
"{'nom': 'Goldman Sachs', 'symbole': 'GS', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9953925085000003","995,3925085000003",6,"0,0003601816666666665",3,"0,005962316666666666",3,"-0,005241953333333334",4,"-0,0016195900000000002",1,"0,0101622",3,"-0,005546853333333333",0
"{'nom': 'IBM', 'symbole': 'IBM', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9865161251999995","986,5161251999998",3,"-0,005999763333333334",0,0,3,"-0,005999763333333334",1,"0,00449893",1,"0,00449893",0,0,0
"{'nom': 'Philip Morris', 'symbole': 'PM', 'secteur': 'Tabac', 'liquidite': 'Moyenne'}","1,0081771739000005","1008,1771739000002",4,"0,00037205250000000006",1,"0,00838413",3,"-0,00229864",17,"0,0004130123529411764",7,"0,006048274285714286",10,"-0,003531671",0
"{'nom': 'Union Pacific', 'symbole': 'UNP', 'secteur': 'Transport ferroviaire', 'liquidite': 'Haute'}","1,03195191256","1031,9519125600002",5,"0,005309298",2,"0,01959715",3,"-0,004215936666666667",6,"0,0008959516666666667",2,"0,0058513950000000006",4,"-0,0015817700000000001",0
"{'nom': 'Royal Bank of Canada', 'symbole': 'RY', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,9808639152000007","980,8639152000006",5,"-0,0029011560000000002",1,"0,00045198",4,"-0,00373944",11,"-0,0004116327272727274",4,"0,0071910774999999994",7,"-0,004756038571428571",0
"{'nom': 'Suncor Energy', 'symbole': 'SU', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","0,9545414143200005","954,5414143200004",13,"-0,002299591538461538",3,"0,00848322",10,"-0,005534435",8,"-0,00199606625",1,"0,01478323",7,"-0,004393108571428572",0
"{'nom': 'Nike', 'symbole': 'NKE', 'secteur': 'Vêtements et chaussures', 'liquidite': 'Haute'}","0,9980582655399994","998,0582655399993",6,"0,0008259383333333335",2,"0,00927474",4,"-0,0033984625",8,"-0,00083176",4,"0,0025819000000000003",4,"-0,00424542",0
"{'nom': 'Uber', 'symbole': 'UBER', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9776155884999999","977,6155884999997",8,"0,0036736587500000003",4,"0,018246362500000002",4,"-0,010899045",9,"-0,00562384111111111",1,"0,00102096",8,"-0,006454441249999999",0
"{'nom': 'Airbus', 'symbole': 'AIR', 'secteur': 'Aérospatiale', 'liquidite': 'Moyenne'}","1,038651149580001","1038,6511495800003",9,"0,001463607777777778",4,"0,00866908",5,"-0,004300770000000001",11,"0,0023100772727272733",6,"0,009026426666666665",5,"-0,005749541999999999",0
"{'nom': 'Intel', 'symbole': 'INTC', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,0271656671199996","1027,1656671199996",10,"0,006096592",6,"0,011201461666666664",4,"-0,0015607125",7,"-0,004753591428571429",1,"0,0010554",6,"-0,005721756666666668",0
"{'nom': 'Meta', 'symbole': 'META', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9291233944399997","929,1233944399997",6,"-0,01108589",0,0,6,"-0,01108589",3,"-0,002095590000000001",2,"0,0060206999999999995",1,"-0,01832817",0
